Order_ID,Date,Product,Category,City,Quantity,Unit_Price,Sales_Channel
1001,2026-01-03,Laptop,Electronics,Delhi,2,55000,Online
1002,2026-01-04,Mouse,Accessories,Mumbai,5,800,Online
1003,2026-01-05,Keyboard,Accessories,Delhi,3,1500,Store
1004,2026-01-07,Monitor,Electronics,Bangalore,2,14000,Online
1005,2026-01-09,Headphones,Accessories,Pune,4,2200,Store
1006,2026-01-11,Laptop,Electronics,Mumbai,1,62000,Store
1007,2026-01-12,Webcam,Accessories,Delhi,3,3000,Online
1008,2026-01-14,Printer,Electronics,Chennai,1,12000,Store
1009,2026-01-16,Mouse,Accessories,Pune,8,750,Online
1010,2026-01-18,Keyboard,Accessories,Mumbai,4,1800,Store
1011,2026-01-20,Monitor,Electronics,Delhi,3,13500,Online
1012,2026-01-22,Headphones,Accessories,Bangalore,6,2500,Online
1013,2026-01-24,Laptop,Electronics,Pune,2,58000,Store
1014,2026-01-26,Webcam,Accessories,Chennai,2,2800,Online
1015,2026-01-28,Printer,Electronics,Mumbai,2,11500,Store
1016,2026-02-02,Mouse,Accessories,Delhi,10,700,Online
1017,2026-02-04,Keyboard,Accessories,Pune,5,1600,Store
1018,2026-02-06,Monitor,Electronics,Bangalore,1,15000,Online
1019,2026-02-08,Laptop,Electronics,Chennai,1,60000,Store
1020,2026-02-10,Headphones,Accessories,Delhi,7,2100,Online
1021,2026-02-12,Webcam,Accessories,Mumbai,4,3200,Store
1022,2026-02-15,Printer,Electronics,Pune,1,12500,Online
1023,2026-02-17,Mouse,Accessories,Bangalore,6,850,Store
1024,2026-02-19,Laptop,Electronics,Delhi,3,57000,Online
1025,2026-02-21,Keyboard,Accessories,Chennai,2,1700,Store
1026,2026-02-23,Monitor,Electronics,Mumbai,2,14500,Online
1027,2026-02-25,Headphones,Accessories,Pune,5,2300,Store
1028,2026-02-26,Webcam,Accessories,Delhi,3,2900,Online
1029,2026-02-27,Printer,Electronics,Bangalore,2,11800,Store
1030,2026-02-28,Laptop,Electronics,Mumbai,2,61000,Online
